,FCBH/DBS,ISO,Language,Year,description,exist_API,verses
2231,AAHWBT,kmh,Kalam,2008,The New Testament in Abu,True,7904
2232,KCKBSB,kck,Kalanga,2009,The New Testament in Kalanga,True,0
2234,KLNUBS,kln,Kalenjin,1968,The New Testament in Kalenjin,True,0
2236,XALIBT,xal,Kalmyk-Oirat,2002,2006 Edition,True,7647
2240,KMSPNG,kms,Kamasau,1998,The New Testament in Kamasau,True,7955
2242,KTBBSE,ktb,Kambaata,2011,Kambaata Bible Society Version,True,0
2243,XLAPNG,xla,Kamula,2005,Kamula 2005 Edition,True,7928
2244,HIGTBL,hig,Kamwe,1997,Kamwe 1997 Edition,True,7911
2245,SOQWBT,soq,Kanasi,1997,The New Testament in Kansi,True,7933
2247,GAMWBT,gam,Kandawo,2014,The New Testament in Kandawo,True,7947
2251,KMUTBL,kmu,Kanite,,2002 Edition,True,7945
2253,KNETBL,kne,Kankanaey,2000,Kankanaey Bible,True,7947
2263,CAKSBG,cak,Central Cakchiquel,2003,"Cakchiquel, Central 2003 Edition",True,0
2274,CKIWBT,cak,Central Cakchiquel,2013,Santa María Cakchiquel New Testament,True,7958
2275,CKKWBT,ckk,Acatenango Southwestern Cakchiquel,,1990 Edition,True,7950
2277,LEUTBL,leu,Kara,,1997 Edition,True,7953
2278,KAAIBT,kaa,Karakalpak,2004,Kara-Kalpak 2004 Edition,True,7941
2279,KRCLIO,krc,Karachay-Balkar,2000,Karachay-Balkar 2000 Edition,True,0
2281,KDJBSU,kdj,Karamojong,1996,Karamojong 1996 Edition,True,7958
2284,YUJWBT,yuj,Karkar-Yuri,1994,The New Testament in Karkar-Yuri,True,0
2285,XSMBFV,xsm,Kasem,1997,Kasem 1997 Edition (Burkina Faso),True,0
2286,XSMWBT,xsm,Kasem,2003,Kasem 2003 Edition (Ghana),True,7957
2289,PSSBIV,pss,Kaulong,2015,The New Testament in Kaulong,True,7957
2290,KYZWBT,kyz,Kayabí,1999,Kayabí­ 1999 Edition,True,0
2291,TXUTBL,txu,Kayapó,1996,Kayapὀ 1996 Edition,True,7675
2294,KAZKAZ,kaz,Kazakh,2010,Kazakh Bible 2010,True,31062
2295,KHZPNG,khz,Keapara,2005,Keapara 2005 Edition,True,7958
2296,BMHWBT,bmh,Kein,2005,Kein 2005 Edition,True,7922
2297,KEKIBS,kek,Kekchí,2008,Kekchi 2008 Edition,True,7958
2298,KEKSBG,kek,Kekchí,2005,Kekchi 2005 Catholic Edition,True,0
2301,IFYWBT,ify,Keley-I Kallahan,2008,Keley-I Kallahan 2008 Edition,True,30632
2302,KBOWBT,kbo,Keliko,,Wycliffe Bible Translators Version,True,0
2304,KYQWYI,kyq,Kenga,,2012 Edition,True,7932
2306,KENWBT,ken,Kenyang,2010,Kenyang 2010 Edition,True,7948
2307,KERABT,ker,Kera,2004,Kera 2004 Edition,True,0
2308,KYGTBL,kyg,Keyagana,2001,Keyagana 2013 Edition,True,7954
2310,KJHIBT,kjh,Khakas,2009,New Testament in Khakas,True,0
2311,OGOBSN,ogo,Khana,1968,The New Testament in Khana,True,0
2318,CNKBSM,cnk,Khumi Chin,2005,Khumi Chin 2005 Edition,True,0
2319,KIKBSK,kik,Gikuyu,1965,The New Testament in Gikuyu,True,0
2321,KIJPNG,kij,Kilivila,2011,Kilivila 2011 Edition,True,7918
2323,KIAWBT,kia,Kim,2017,Garap-Kim New Testament,True,7955
2325,KQPWBT,kqp,Kimré,2007,Kimré 2007 Edition,True,7956
2326,KRJWBT,krj,Kinaray-A,2009,Kinaray-A 2009 Edition,True,7957
2336,KIRBSK,kir,Kirghiz,2005,Kyrgyz New Testament (2005),True,0
2341,KJEWBT,kje,Kisar,,2007 Edition,True,7843
2346,KLUBSL,klu,Klao,1998,The New Testament in Klao,True,0
2348,KPWPNG,kpw,Kobon,2005,The New Testament in Kobon,True,7940
2350,KPMDVS,kpm,Koho,1950,The New Testament in Koho,True,0
2353,BKMBSC,bkm,Kom,2004,The New Testament in Kom,True,0
2358,KPFWBT,kpf,Komba,,1980 Edition,True,7949
2362,KPVIBT,kpv,Komi-Zyrian,1979,Komi-Zyrian IBT Version,True,7932
2363,KFCKSS,kfc,Konda-Dora,2006,The New Testament in Konda-Dora,True,0
2369,KMAWBT,kma,Konni,,2004 Edition,True,7948
2370,KNOBSL,kno,Kono,2006,Kono (Sierra Leone) 2006 Edition,True,7877
2371,KXCBSE,kxc,Komso,2001,Konso 2001 Edition,True,7957
2375,OZMTBL,ozm,Koonzime,1998,Koonzime 1998 Edition,True,7912
2376,KQYBSE,kqy,Koorete,2011,Koorete Bible Society Version,True,7955
2377,KPRTBL,kpr,Korafe,2003,Korafe-Yegha 2003 Edition,True,7647
2383,KORKRV,kor,Korean,1961,The Revised Korean Bible (New Script),True,0
2388,COEWBT,coe,Koreguaje,2007,Koreguaje 2007 Edition,True,7737
2389,BPRWYI,bpr,Koronadal Blaan,1995,Koronadal Blaan 1995 Edition,True,7928
2393,KZEWBT,kze,Kosena,1980,Kosena 1980 Edition,True,7930
2396,KYFWBT,kyf,Kouya,2002,Kouya 2002 Edition,True,7937
2397,KFFIEM,kff,Koya,2006,Koya 2008 Edition,True,0
2398,KHQBIV,khq,Koyra Chiini Songhay,2018,2017 Edition,True,0
2407,KSDPNG,ksd,Kuanua,1983,Kuanua 1983 Edition,True,31096
2410,KGFGBT,kgf,Kube,2007,Kube 2007 Edition,True,7950
2412,KEZLCN,kez,Kukele,1979,Kukele 1979 Edition,True,7936
2417,KLENLI,kle,Kulung,2016,2016 Edition,True,0
2418,KDIBSU,kdi,Kumam,2013,2006 Edition,True,7958
2420,KUEPNG,kue,Kuman,2008,Kuman 2008 Edition,True,7959
2421,KUMIBT,kum,Kumyk,2007,Kumyk 2007 Edition,True,7835
2422,KDNBSZ,kdn,Kunda,2007,ChiKunda New Testament,True,0
2425,KUPTBL,kup,Kunimaipa,2002,The New Testament in Kunimaipa,True,7904
2426,XUOWBT,xuo,Kuo,2013,Kuo 2013 Edition,True,7953
2428,KTOWBT,kto,Kuot,,2001 Edition,True,7942
2431,KPZBSU,kpz,Kupsabiny,1995,Kupsabiny 1995 Edition,True,7955
2432,KNKBSL,knk,Kuranko,2005,Kuranko 2005 Edition,True,7900
2439,KRUFMP,kru,Kurux,2012,Friends Missionary Prayer Band Version,True,0
2440,KUSTBL,kus,Kusaal,1996,Kusaal 1996 Edition,True,7954
2441,KUBTBL,kub,Kutep,1995,Kutep 1995 Edition,True,7928
2442,KDCPBT,kdc,Kutu,2014,The New Testament in Kutu,True,7959
2443,BLHLBT,blh,Kuwaa,1988,Kuwaa 1988 Edition,True,0
2444,CWTATB,cwt,Kuwaataay,2000,Kuwaataay 2000 Edition,True,7912
2446,TNKWBT,tnk,Kwamera,2013,Kwamera 2013 Edition,True,0
2447,KWJWBT,kwj,Kwanga,1992,Kwanga New Testament,True,7958
2450,KNPABC,knp,Kwanja,2006,Kwanja 2006 Edition,True,0
2451,KWFWBT,kwf,Kwara'ae,2003,Kwara'ae 2003 Edition,True,7877
2452,CWEPBT,cwe,Kwere,2014,The New Testament in Kwere,True,7956
2453,KMOWBT,kmo,Kwoma,1974,The New Testament in Washkuk,True,7953
2454,KYCPNG,kyc,Kyaka,1973,Kyaka Bible Society Version,True,7896
2462,DTBWBT,dtb,Labuk-Kinabatangan Kadazan,,1996 Edition,True,7904
2463,LACTBL,lac,Lacandon,1978,The New Testament in Lacandon,True,0
2464,ZPLTBL,zpl,Lachixío Zapotec,2010,The New Testament in Lachixi­o Zapotec,True,0
2466,LHUTBS,lhu,Lahu,1989,Lahu 1989 Edition,True,0
2479,QUFLLB,quf,Lambayeque Quechua,2008,"The New Testament in Quechua, Lambayeque",True,7950
2480,LAIBSM,lai,Lambya,2015,2015 Edition,True,0
2482,LMKBIV,lmk,Lamkang,,2001 Edition,True,7959
2484,LNSCAB,lns,Lamnso',2014,2014 Edition,True,0
2485,LJPLAI,ljp,Lampung,2002,Lampung Api 2002 Today's Lampung Version,True,7904
2486,LAJBSU,laj,Lango,1978,Lango (Uganda) 1978 Edition,True,7956
2489,LAOUBS,lao,Lao,2011,Lao Common Language Bible,True,0
2490,LSIBSM,lsi,Lashi,2009,Lacid Common Language Bible,True,0
2500,LAWNTM,law,Lauje,,NTM Version,True,7904
2501,CLETBL,cle,Lealao Chinantec,2008,Lealao Chinantec 2008 Edition,True,7959
2502,LEWLAI,lew,Ledo Kaili,1999,Ledo Kaili 1999 Edition,True,7953
2506,LEFTBL,lef,Lelemi,1995,Lelemi 1995 Edition,True,7957
2509,LWWWBT,lww,Lewo,2016,2016 Edition,True,0
2514,XPEUBS,xpe,Liberia Kpelle,1967,Liberian Kpelle New Testament,True,0
2516,LIFWBT,lif,Limbu,2009,Limbu 2009 Edition,True,7875
2525,LISTCM,lis,Lisu,1938,Lisu North Thailand Christian Mission,True,7950
2532,LITLVK,lit,Lithuanian,1990,LVK Edition,True,0
2534,LOBBSB,lob,Lobi,1984,Lobi 1984 Edition,True,7960
2537,YAZTBL,yaz,Lokaa,1996,Lokaa 2006 Edition,True,7958
2540,YCLNVS,ycl,Central Yi,2018,NVS Version,True,7754
2541,LOMBSL,lom,Loma,1971,Loma New Testament,True,0
2544,NGLRLV,ngl,Lomwe,2017,2017 Edition,True,0
2546,UVLWBT,uvl,Lote,,2009 Edition,True,7954
2548,TACPBC,tac,Lowland Tarahumara,2008,Lowland Tarahumara 2008 Edition,True,0
2549,LOZBSZ,loz,Lozi,1951,Lozi 1951 Edition,True,0
2550,LEXWBT,lex,Luang,2014,Luang New Testament and Portions,True,7886
2551,LUBDRC,lub,Luba-Katanga,2003,Luba-Katanga 2003 Edition,True,0
2553,KNBTAP,knb,Lubuagan Kalinga,2013,2013 Edition,True,0
2559,DOPBSB,dop,Lukpa,1999,Lukpa 2001 Edition,True,7950
2562,LUNBSZ,lun,Lunda,2003,The New Testament in Lunda,True,0
2565,LNDBSM,lnd,Lundayeh,1982,Lun Bawang/Lun Dayeh Bible (1982),True,30532
2569,LUSBIV,lus,Mizo,,2005 Edition,True,7956
2572,NDYBIV,ndy,Lutos,2014,The New Testament in Rito-Lutos,True,7958
2575,LWOWBT,lwo,Luwo,2003,Luwo 2003 Edition,True,7818
2576,LEEWBT,lee,Lyélé,2001,Lyele 2001 Edition,True,7915
2577,MHYLAI,mhy,Ma'anyan,1999,Ma'anyan 1999 Edition,True,7906
2578,MHIBSU,mhi,Ma'di,1977,Ma'di 1977 Edition,True,7955
2581,MFZBSS,mfz,Mabaan,2002,Mabaan 2002 Edition,True,7884
2584,MKDMKV,mkd,Macedonian,,Konstantinov,True,0
2586,JMCBST,jmc,Machame,2000,Machame 2000 Edition,True,7958
2587,MCBTBL,mcb,Machiguenga,1997,Machiguenga 2011 Edition,True,7951
2589,MPDNTM,mpd,Machinere,2008,2008 Edition,True,0
2590,MYYWBT,myy,Macuna,1989,New Testament in Macuna,True,7944
2592,MDAWBT,mda,Mada,1999,Mada (Nigeria) 1999 Edition,True,7936
2594,MADIBS,mad,Madura,1994,"Madurese Today's Madura Version, 1994",True,29777
2596,SGBTBL,sgb,Mag-Anchi Ayta,2006,Mag-antsi Ayta 2006 Edition,True,7941
2597,MAGSSI,mag,Magahi,2014,The New Testament in Magahi,True,7899
2605,MAIWBT,mai,Maithili,2010,Maithili WBT Version,True,7958
2607,MTIWBT,mti,Maiwa,,2011 Edition,True,7940
2609,MCPWBT,mcp,Makaa,2014,The New Testament in Makaa,True,0
2610,MAKLAI,mak,Makasar,1999,"Makasar Today's Makassar Version, 1999",True,0
2612,MGHPBT,mgh,Makhuwa-Meetto,2015,Makua New Testament 2015,True,0
2617,MLGDPV,mlg,Malagasy,1965,Malagasy Protestant Version,True,0
2618,MLGEIV,mlg,Malagasy,2003,Malagasy Interconfessional Version,True,7957
2620,MLGRCV,mlg,Malagasy,2003,Malagasy Roman Catholic Version,True,35224
2621,MLGRPV,mlg,Malagasy,,Revised Protestant Version,True,0
2623,SWKBSM,swk,Malawi Sena,2004,Chisena New Testament,True,0
2625,ZLMAVB,zlm,Malay,2015,Malay Bible: Borneo Version,True,31104
2637,BFOBSB,bfo,Malba Birifor,1993,Malba Birifor 1993 Edition,True,7941
2638,MDYBSE,mdy,Male,2007,Male (Ethiopia) 2007 Edition,True,30744
2644,MUPNLL,mup,Malvi,2012,Malvi 2012 Edition,True,7959
2648,MVCNVS,mvc,Central Mam,2008,The New Testament in Central Mam,True,7882
2651,MMSBSG,mms,Southern Mam,,2009 Edition,True,7957
2652,MAMSBG,mam,Northern Mam,2000,Todos Santos Mam 1993 Edition,True,30992
2653,MVJWBT,mvj,Todos Santos Cuchumatán Mam,,2000 Edition,True,0
2654,MYKWBT,myk,Mamara Senoufo,2006,Mamara Senoufo 2006 Edition,True,7958
2655,MQJLAI,mqj,Mamasa,,2011 Edition,True,7887
2657,MGRBSZ,mgr,Mambwe-Lungu,2013,Mambwe-Lungu Bible 2005 Edition,True,0
2658,MAWWBT,maw,Mampruli,2001,Mampruli 2001 Edition,True,0
2659,XMMLAI,xmm,Manado Malay,2017,2017 Edition,True,7955
2660,MVABTA,mva,Manam,,1996 Edition,True,7957
2693,MNKBSG,mnk,Mandinka,2011,Mandinka 2011 Edition,True,7958
2694,MMOWBT,mmo,Mangga Buang,1981,Mangga Buang 1981 Edition,True,7958
2696,MBHTBL,mbh,Mangseng,1991,The New Testament in Mangseng,True,0
2698,KNFWYI,knf,Mankanya,,2014 Edition,True,0
2699,MEVBSL,mev,Mann,1978,The New Testament in Mano,True,0
2709,MLHPNG,mlh,Mape,2008,The New Testament in Mape,True,0
2711,BZHPNG,bzh,Mapos Buang,2003, Buang (Mapos) New Testament 2003,True,7957
2715,MRWNVS,mrw,Maranao,2013,Maranao 2013 Edition,True,30720
2720,MARWTC,mar,Marathi,2006,Easy-to-Read Marathi Bible,True,0
2722,MRTBSN,mrt,Marghi Central,1985,The New Testament in Central Marghi,True,0
2723,QVMTBL,qvm,Margos-Yarowilca-Lauricocha Quechua,2003,Margos-Yarowilca-Lauricocha Quechua 2003 Edition,True,7455
2724,DADWBT,dad,Marik,2011,Marik 2011 Edition,True,7942
2725,ENBBTL,enb,Endo,2008,Markweeta 2008 Edition,True,7906
2728,MHXBSM,mhx,Maru,2003,Maru 2003 Edition,True,7920
2730,MYXBSU,myx,Masaba,2008,Masaaba 2008 Edition,True,7958
2733,MCNABC,mcn,Masana,2001,The New Testament in Massana,True,0
2735,KLVWBT,klv,Maskelynes,2013,The New Testament in Maskelynes,True,0
2736,MFHWYI,mfh,Matal,1989,Matal 1989 Edition,True,7952
2737,MBTWBT,mbt,Matigsalug Manobo,2010,The New Testament in Matigsalug Manobo,True,7926
2738,ME1PNG,met,Mato,,Wycliffe Bible Translators Version,True,7918
2741,MHLPNG,mhl,Mauwake,1998,Mauwake 1998 Edition,True,7919
2745,MFYWBT,mfy,Mayo,2014,Mayo WBT Version,True,7958
2746,MDMWYI,mdm,Mayogo,2015,Mayogo New Testament,True,0
2747,IFUWPS,ifu,Mayoyao Ifugao,2004,Mayoyao Ifugao 2004 Edition,True,7941
2748,MAASAV,maa,San Jerónimo Tecóatl Mazatec,2012,San Jerónimo Tecuanipan Mazatec 2011 (San Antonio),True,7958
2751,MQBWBT,mqb,Mbuko,2010,Mbuko 2010 Edition,True,7954
2756,GUNWBT,gun,Mbyá Guaraní,2004,Guaraní Mnyá­ 2004 Edition,True,7957
2757,BYVABC,byv,Medumba,1993,The New Testament in Medumba,True,0
2758,MEKPNG,mek,Mekeo,1998,The New Testament in Mekeo,True,7956
2759,MEDPNG,med,Melpa,1995,Melpa 1995 Edition,True,7924
2760,SIMPNG,sim,Mende,2005,Mende 2005 Edition,True,7933
2761,MENBSL,men,Mende,2002,Mende (Sierra Leone) 2002 Edition,True,7929
2762,MEETBL,mee,Mengen,2003,Mengen 2003 Edition,True,7956
2763,MWVLAI,mwv,Mentawai,1993,"Mentawai Today's Mentawai Version, 1993",True,7958
2764,MCRPNG,mcr,Menya,,Portions of the Bible in Menya,True,0
2765,MEQWBT,meq,Merey,2012,Merey 2012 Edition,True,7949
2767,MERUBS,mer,Meru,2010,Kimeru 2010 Edition,True,0
2769,ACMAS3,acm,Mesopotamian Spoken Arabic,2005,Arabic Sharif (Iraqi) Version,True,7959
2772,MXVWBT,mxv,Metlatónoc Mixtec,2017,2017 Edition,True,0
2773,MEJTBL,mej,Meyah,1997,Meyah WBT Version,True,0
2774,OTETBL,ote,Mezquital Otomi,1990,Mezquital Otomi 1990 Edition,True,7957
2778,ZAMILM,zam,Miahuatlán Zapotec,1971,Miahuatlan Zapotec 1971 Edition,True,0
2780,MPTWBT,mpt,Mian,,1986 Edition,True,7933
2791,MINLAI,min,Minangkabau,2010,"Minangkabau Today's Minang Version, 2010",True,7945
2793,HTOWBT,hto,Minica Huitoto,1985,Minica Huitoto 1985 Edition,True,7956
2794,MPXPNG,mpx,Misima-Paneati,1997,Misima-Paneati 1997 Edition,True,7956
2796,ZAWMVR,zaw,Mitla Zapotec,2006,Mitla Zapotec 2006 Edition,True,7956
2798,ZPMTBL,zpm,Mixtepec Zapotec,1998,The New Testament in Mixtepec Zapotec,True,0
2799,SOYSIM,soy,Miyobe,2011,Miyobe 2011 Edition,True,0
2800,MFQABT,mfq,Moba,2007,Moba Lok 2007 Edition,True,7942
2802,OLDBST,old,Mochi,1998,Mochi 1998 Edition,True,7958
2822,MIFWBT,mif,Mofu-Gudur,2007,Mofu-Gudur 2007 Edition,True,7907
2829,MKLSIM,mkl,Mokole,2006,Mokole 2006 Edition,True,7904
2832,MOXFSA,mox,Molima,,2010 Edition,True,0
2833,LOLDRC,lol,Mongo-Nkundu,1987,The New Testament in Lomongo,True,0
2840,MOGLAI,mog,Mongondow,2006,"Today's Mongondow Version, 2006",True,7904
2844,MOPWBT,mop,Mopán Maya,2004,Mopán Maya 2004 Edition,True,7904
2846,MFEBSM,mfe,Morisyen,2009,Morisyen 2009 Edition,True,0
2847,MORBSS,mor,Moro,1965,The Old Moro Version,True,7957
2849,ARYMBS,ary,Moroccan Spoken Arabic,2012,Moroccan Standard Translation,True,0
2851,MQNLAI,mqn,Moronene,2018,2013 Edition,True,0
2852,MGDBSS,mgd,Moru,1996,The New Testament in Moru,True,0
2853,MTJTBL,mtj,Moskona,2001,Moskona 2001 Edition,True,7953
2856,MEUPNG,meu,Motu,1973,The Holy Bible in Motu,True,31099
2857,KPXTBL,kpx,Mountain Koiali,1981,The New Testament in Koiali,True,7945
2859,CMRWBT,cmr,Mro Chin,2015,The New Testament in Mro-Khimi Chin,True,7955
2860,AOJWBT,aoj,Mufian,1998,Mufian 1998 Edition,True,0
2861,BMRWBT,bmr,Muinane,2009,Muinane 2009 Edition,True,7950
2863,MZMWBT,mzm,Mumuye,1994,Mumuye 1994 Edition,True,7947
2864,MNBTBL,mnb,Muna,2004,Muna 2004 Edition,True,7957
2865,MUAABC,mua,Mundang,2008,The New Testament in Moundang,True,0
2867,MNFCAB,mnf,Mundani,2006,Mundani 2006 Edition,True,7958
2871,MURTBL,mur,Murle,1996,Murle 1996 Edition,True,7828
2874,HUUTBL,huu,Murui Huitoto,1978,Murui Huitoto 1978 Edition,True,7931
2881,MUYWBT,muy,Muyang,2013,Muyang 2013 Edition,True,7958
2882,MYWPNG,myw,Muyuw,1993,Muyuw 1993 Edition,True,7757
2883,SURIBS,sur,Mwaghavul,2006,Mwaghavul 2006 Edition,True,7959
2884,MOAWBT,moa,Mwan,2006,The New Testament in Mwan,True,7956
2885,WMWWYI,wmw,Mwani,2013,Mwani WBT Version,True,7944
2888,TNRNTM,tnr,Budik,2015,Bedik - Münik New Testament,True,7920
2889,MIQSBN,miq,Mískito,1998,Miskito 1998 Edition,True,7956
2890,MWQBSM,mwq,Mün Chin,2009,Mün Chin Common Language Version,True,7930
2891,MUHWBT,muh,Mündü,2005,Mündü 2005 Edition,True,7482
2892,NASPNG,nas,Naasioi,1994,Naasioi 1994 Edition,True,7951
2894,NAFWBT,naf,Nabak,,1988 Edition,True,7897
2896,NFRIBS,nfr,Nafaanra,1983,Nafaanra 1983 Edition,True,7930
2898,NAKTBL,nak,Nakanai,1983,Nakanai 1983 Edition,True,7954
2899,NLCLAI,nlc,Nalca,2000,Nalca New Testament (2000 Version),True,0
2901,NVMWBT,nvm,Namiae,2004,Namiae 2004 Edition,True,7882
2903,NNBBSU,nnb,Nande,1980,Nande 1980 Edition,True,7958
2906,QVOVAA,qvo,Napo Lowland Quechua,1988,Napo Lowland Quechua 1988 Edition,True,7875
2907,NPYLAI,npy,Napu,2000,"Today's Napu Version, 2000",True,7797
2910,NTMWBT,ntm,Nateni,2018,WBT Version,True,7952
2912,NAVABS,nav,Navajo,1985,Navajo 1985 Edition,True,0
2915,NMZWSB,nmz,Nawdm,2013,Nawdm 2013 Edition,True,7951
2916,NAWWBT,naw,Nawuri,2012,2012 Edition,True,7959
2918,NDJPBT,ndj,Ndamba,,PBT Version,True,0
2920,NDCBSZ,ndc,Ndau,1997,Ndau 1999 Edition,True,0
2922,NDZWBT,ndz,Ndogo,2001,Ndogo 2001 Edition,True,7938
2925,NSNWBT,nsn,Nehan,2011,Nehan 2011 Edition,True,7952
2934,NEWNBS,new,Newar,1986,The New Testament in Newari,True,0
2935,NEWNCL,new,Newar,2015,Newar Christian Literature New Testament,True,7955
2940,NIJLAI,nij,Ngaju,2005,"Today's Dayak Ngaju Version, 2005",True,7945
2943,GNGWYI,gng,Ngangam,2011,Ngangam 2011 Edition,True,0
2944,CNWBSM,cnw,Ngawn Chin,2006,The Ngawn New Testament,True,0
2949,NNQPBT,nnq,Ngindo,2014,The New Testament in Ngindo,True,0
2951,NIYWYI,niy,Ngiti,2015,The Bible in Ngiti,True,0
2954,NGPPBT,ngp,Ngulu,,PBT Version,True,0
2955,GYMWBT,gym,Ngäbere,2004,Ingabere 2004 Edition,True,7804
2956,NIAIBS,nia,Nias,2006,"Nias Today's Nias Version, 2006",True,7912
2958,MZKTBL,mzk,Nigeria Mambila,1977,The New Testament in Mambila for Nigeria,True,7952
2961,PCMTSC,pcm,Nigerian Pidgin,2012,Nigerian Pidgin 2012 Edition,True,0
2964,NIIWBT,nii,Nii,,1980 Edition,True,7933
2965,NIMBST,nim,Nilamba,2009,Nilamba 2009 Edition,True,7957
2970,CAGSBP,cag,Nivaclé,2013,1995 Edition,True,0
2972,NKOWBT,nko,Nkonya,2009,The New Testament in Nkonya,True,7956
2974,GAWWBT,gaw,Nobonob,1990,Nobonob 1990 Edition,True,7946
2976,NOGIBT,nog,Nogai,2011,The New Testament in Nogai,True,7936
2977,LEMWBT,lem,Nomaande,2008,Nomaande 2008 Edition,True,0
2980,NHUWBT,nhu,Noone,2011,Noone 2011 Edition,True,7950
2981,CYAAVV,cya,Nopala Chatino,2000,Nopala Chatino 2000 Edition,True,0
2987,QULSBB,qul,North Bolivian Quechua,1985,North Bolivian Quechua 2006 Edition,True,7944
2990,QVNLLB,qvn,North Junín Quechua,1997,North Junin Quechua 1997 Edition,True,7949
2993,AYPABT,ayp,North Mesopotamian Spoken Arabic,,ABT Version,True,7958
2995,MFKABC,mfk,North Mofu,1975,Mofu 1975 Version,True,7956
2997,NDEBSZ,nde,Ndebele,1978,The New Testament in Ndebele,True,0
3004,TNNWBT,tnn,North Tanna,,2007 Edition,True,0
3005,DIPBSS,dip,Northeastern Dinka,2009,Northeastern Dinka 2009 Edition,True,0
3006,BBOBSB,bbo,Northern Bobo Madaré,1981,Northern Bobo Madaré 1981 Edition,True,7956
3007,BBOBSM,bbo,Northern Bobo Madaré,2017,2017 Edition,True,0
3008,QXNWBT,qxn,Northern Conchucos Ancash Quechua,2006,Northern Conchucos Ancash Quechua 2006 Edition,True,7947
3009,DGIABB,dgi,Northern Dagara,2004,Northern Dagara 2004 Edition,True,7952
3012,EMPWYI,emp,Northern Emberá,2011,The New Testament in Northern Emberá,True,7752
3014,GBOLBT,gbo,Northern Grebo,1989,Northern Grebo 1989 Edition,True,0
3017,KXMTBS,kxm,Northern Khmer,2003,Northern Khmer 2003 Edition,True,7938
3025,NGBDRC,ngb,Northern Ngbandi,1987,Ngbandi Bible 1987 Edition,True,0
3027,NHYTBL,nhy,Northern Oaxaca Nahuatl,2006,Northern Oaxaca Nahuatl 2006 Edition,True,7952
3029,PAONAB,pao,Northern Paiute,1985,Northern Paiute 1985 Edition,True,0
3032,QVZWBT,qvz,Northern Pastaza Quichua,1992,Northern Pastaza Quichua 1992 Edition,True,7813
3033,NCJTBL,ncj,Northern Puebla Nahuatl,1979,Northern Puebla Nahuatl 1979 Edition,True,0
3035,NTPTBL,ntp,Northern Tepehuan,1981,Northern Tepehuan 1981 Edition,True,7763
3036,NODWBT,nod,Northern Thai,2015,Northern Thai New Testament,True,0
3038,XTNTBL,xtn,Northern Tlaxiaco Mixtec,2015,2015 - Selections,True,0
3042,ESKWBT,esk,Northwest Alaska Inupiatun,1997,Northwest Alaska Inupiatun 1997 Edition,True,7928
3047,OJBCBS,ojb,Northwestern Ojibwa,,2008 Edition (Syllabic),True,0
3051,NORNBS,nor,Norwegian,1930,1930 Det Norsk Bibelselskap,True,31169
3052,NORNBV,nor,Norwegian,,Norsk Bibel AS 2016,True,31167
3060,BUDIBS,bud,Ntcham,2008,Ntcham 2008 Edition,True,7957
3061,NUSBSS,nus,Nuer,1999,Nuer 1999 Edition,True,0
3066,NUPBSN,nup,Nupe-Nupe-Tako,1989,The New Testament in Nupe,True,0
3067,NWBWBT,nwb,Nyabwa,1991,Nyabwa 1991 Edition,True,7920
3068,NYYBST,nyy,Nyakyusa-Ngonde,1995,Nyakyusa-Ngonde 1995 Edition,True,0
3071,NYMBST,nym,Nyamwezi,1951,1951 Edition,True,0
3075,NYADPI,nya,Nyanja,2014,2014 Edition,True,0
3078,NYNBSU,nyn,Nyankore,1989,Nyankole 1989 Edition,True,7956
3079,RIMBST,rim,Nyaturu,2010,Nyaturu 2010 Edition,True,7957
3081,LIDWBT,lid,Nyindrou,1987,The New Testament in Nyndrou,True,7899
3083,NYOBSU,nyo,Nyoro,2008,Nyoro 2008 Edition,True,0
3087,OBOWBT,obo,Obo Manobo,2011,"The New Testament in Manobo, Obo",True,7958
3088,ANNWBT,ann,Obolo,1991,Obolo 1991 Edition,True,0
3090,MIETBL,mie,Ocotepec Mixtec,1977,Ocotepec Mixtec 1977 Edition,True,0
3092,ZACSIM,zac,Ocotlán Zapotec,1983,Ocotlan Zapotec 1983 Edition,True,0
3099,CHJBSM,chj,Ojitlán Chinantec,2015,Chinanteco Ojitlan New Testament,True,0
3100,OPMTBL,opm,Oksapmin,1992,Oksapmin 1992 Edition,True,7949
3102,OKUWYI,oku,Oku,,2012 Edition,True,7959
3105,ONGWBT,ong,Olo,,1997 Edition,True,0
3113,ORYWTC,ori,Oriya,2006,Oriya: Easy to Read Version,True,7944
3115,OKVWBT,okv,Orokaiva,1988,Orokaiva 1988 Edition,True,7924
3116,URYAOV,ury,Orya,2017,Orya Bible,True,7763
3119,OSSIBT,oss,Osetin,2004,2004 Edition,True,7955
3120,OTDLAI,otd,Dohoi,1998,Ot Danum 1998 Edition,True,7905
3122,STNBSP,stn,Owa,2005,Owa BSSP Edition,True,7954
3123,ZAOTBL,zao,Ozolotepec Zapotec,2007,Ozolotepec Zapotec 2007 Edition,True,0
3124,CHZWBT,chz,Ozumacín Chinantec,2003,Ozumacín Chinantec 2003 Edition,True,7958
3127,SIGWBT,sig,Paasaal,2001,Paasaal 2001 Edition,True,7954
3129,APFCMU,apf,Pahanan Agta,2016,The CMU New Testament,True,0
3131,PCKBIV,pck,Paite Chin,,2004 Edition,True,0
3133,CPATBL,cpa,Palantla Chinantec,1973,Palantla Chinantec 1973 Edition,True,0
