,FCBH/DBS,ISO,Language,Year,description,exist_API,verses
1349,CAPSBB,cap,Chipaya,2004,Chipaya 2004 Edition,True,7958
1352,MAQTBL,maq,Chiquihuitlán Mazatec,1991,Chiquihuite Mazatec 1991 Edition,True,0
1353,CAXSBB,cax,Chiquitano,2002,The New Testament in Chiquitano 2002,True,7956
1357,CDFBIV,cdf,Chiru,2009,New Testament in Chiru,True,7957
1358,CTGBSB,ctg,Chittagonian,,BSB Version,True,0
1359,ZPCTBL,zpc,Choapan Zapotec,2010,Zapoteco del Choapan New Testament,True,7953
1369,CAAWBT,caa,Chortí,1996,Ch'orti'­ 1996 Edition,True,7956
1372,CJVTBL,cjv,Chuave,1992,Chuave 1992 Edition,True,7942
1374,CACSBG,cac,San Sebastián Coatán Chuj,1999,Chuj 1999 Edition,True,0
1375,CNMGVR,cnm,Ixtatán Chuj,2018,2007 Edition,True,0
1376,CNMRGB,cnm,Ixtatán Chuj,,2007 Edition,True,7909
1379,NCUWBT,ncu,Chumburung,1988,Chumburung 1988 Edition,True,7686
1383,CHVIBT,chv,Chuvash,2009,New Testament in Chuvash,True,7950
1385,ASGWBT,asg,Cishingini,2012,The New Testament in Cishingini,True,0
1387,MCOTBL,mco,Coatlán Mixe,1976,Mixe De Coatlan 1976 Edition,True,7950
1388,MIZTBL,miz,Coatzospan Mixtec,2003,Coatzospan Mixtec 2003 Edition,True,0
1389,CONWBT,con,Cofán,1998,Cofán 1998 Edition,True,7898
1390,KOGWBT,kog,Cogui,2014,The New Testament in Kogi-Cogui,True,7958
1391,CSNSLV,csn,Colombian Sign Language,2006,Colombian Sign Language Bible Portions,True,0
1392,COFWBT,cof,Colorado,1990,Colorado Bible,True,7878
1393,CCOTBL,cco,Comaltepec Chinantec,2002,Comaltepec Chinantec 2002 Edition,True,0
1395,SWCSBZ,swc,Congo Swahili,2007,Kiswahili New Testament,True,0
1407,MTATBL,mta,Cotabato Manobo,1988,Cotabato Manobo WBT Version,True,7904
1408,TOCTBL,toc,Coyutla Totonac,2006,Coyutla Totonac 2006 Edition,True,0
1413,CRHIBT,crh,Crimean Turkish,2008,Crimean Tatar 2016 Edition,True,31163
1422,CUBWBT,cub,Cubeo,2009,The New Testament in Cubeo,True,7953
1423,CUIWBT,cui,Cuiba,1987,Cuiba 1987 Edition,True,0
1424,CULWBT,cul,Culina,1978,The Bible in Culina,True,7952
1425,QUZBIV,quz,Cusco Quechua,2011,Cusco Quechua 2011 Edition,True,7958
1426,QUZPBS,quz,Cusco Quechua,2004,Cusco Quechua 2004 Edition,True,31072
1435,KZFLAI,kzf,Da'a Kaili,1998,Da'a Kaili 1998 Today's Da'a Version,True,7870
1437,DSHBTL,dsh,Daasanach,2014,The New Testament in Daasanach,True,7958
1441,DGZWBT,dgz,Daga,2004,Daga 2004 Edition,True,7941
1445,BEVABU,bev,Daloa Bété,1996,The New Testament in Bete Daloa,True,0
1450,DAAWYI,daa,Dangaléat,2012,Dangaléat 2012 Edition,True,7955
1451,THLWYI,thl,Dangaura Tharu,2018,2018 Edition,True,7959
1455,DAND33,dan,Danish,1933,Danish 1933 Danish Bible,True,31169
1460,ASOTBL,aso,Dano,1989,Dano 1989 Edition,True,7911
1462,PRSGNN,prs,Eastern Farsi,2008,Good News for a New Age,True,30023
1464,DLNBIV,dln,Darlong,2014,The Bible in Darlong,True,0
1465,TCCBST,tcc,Datooga,2002,The Bible in Datooga,True,7957
1467,DWWWBT,dww,Dawawa,,2002 Edition,True,7943
1469,DWRTBL,dwr,Dawro,2009,Dawro 2009 Edition,True,7804
1470,DEDWBT,ded,Dedua,2005,Dedua 2005 Edition,True,0
1471,MZWNVS,mzw,Deg,1990,Deg 1990 Edition,True,0
1474,NTRWBT,ntr,Delo,2006,Delo 2006 Edition,True,7931
1475,DDNBIV,ddn,Dendi,1995,The New Testament in Dendi,True,7960
1476,ANVWBT,anv,Denya,2010,Denya 2010 Edition,True,7944
1477,DESWBT,des,Desano,1984,Desano 1984 Edition,True,7744
1484,DIDWBT,did,Didinga,2017,Didinga New Testament,True,0
1486,DIGTBL,dig,Digo,2007,Digo 2007 Edition,True,0
1488,DURABC,dur,Dii,2014,Dii New Testament,True,0
1490,TBZBSB,tbz,Ditammari,2001,Ditammari 2001 Edition,True,31008
1491,XTDTBL,xtd,Diuxi-Tilantongo Mixtec,2001,Diuxi-Tilantongo Mixtec 2001 Edition,True,7953
1493,DJRBSA,djr,Djambarrpuyngu,2008,Djambarrpuyngu New Testament,True,0
1494,DYIIBS,dyi,Djimini Senoufo,1993,Djimini Senoufo 2015 Edition,True,7957
1496,DOBWBT,dob,Dobu,,1985 Edition,True,7936
1497,DOSATA,dos,Dogosé,,ANTBA Version,True,7932
1504,DOWABC,dow,Doyayo,1991,The New Testament in Doyayo,True,0
1508,DUOWBT,duo,Dupaninan Agta,2002,The New Testament in Dupaninan Agta,True,7939
1509,MVPLAI,mvp,Duri,2005,"Duri Today's Duri Version, 2005",True,7950
1510,DUGBTL,dug,Duruma,1999,The Bible in Duruma,True,7938
1514,NLDDSV,nld,Dutch,1750,Dutch 1750 Dutch Staten Vertaling Bible,True,31103
1519,NLDNBV,nld,Dutch,2004,New Bible Translation,True,0
1524,DYUBSB,dyu,Jula,1996,Dyula 1996 Edition,True,0
1526,DYUWYI,dyu,Jula,,2013 Edition,True,31170
1528,DZOEHP,dzo,Dzongkha,2012,Dzongkha 2012 Edition,True,7902
1530,KJSWBT,kjs,East Kewa,2004,The New Testament in East Kewa,True,0
1531,QVETBL,qve,Eastern Apurímac Quechua,2013,Eastern Apurimac Quechua WBT Version,True,7959
1532,GUISBU,gui,Eastern Bolivian Guaraní,2001,Eastern Bolivian Guaraní 2001 Edition,True,7914
1535,BRUNXB,bru,Eastern Bru,2009,Eastern Bru 2009 Edition,True,7921
1542,CLYAVA,cly,Eastern Highland Chatino,2001,Eastern Highland Chatino 2001 Edition,True,0
1547,NHETBL,nhe,Eastern Huasteca Nahuatl,2005,Eastern Huasteca Nahuatl 2005 Edition,True,7958
1549,XRBWBT,xrb,Eastern Karaboro,1993,Eastern Karaboro 1993 Edition,True,7925
1552,MHRIBT,mhr,Eastern Mari,1986,Eastern Mari Institute for Bible Translation,True,7946
1553,DJKWBT,djk,Aukan,1999,Eastern Maroon Creole 1999 Edition,True,7877
1554,HAEBSE,hae,Eastern Oromo,2005,Eastern Oromo 2005 Edition,True,0
1555,PEZBSM,pez,Eastern Penan,2011,"The New Testament in Penan, Eastern",True,7954
1556,TAJWBT,taj,Eastern Tamang,2011,Eastern Tamang 2011 Edition,True,7922
1557,BNJOMF,bnj,Eastern Tawbuid,1996,New Testament in Eastern Tawbuid,True,7944
1567,EFKBSN,efi,Efik,1985,The New Testament in Efik,True,0
1568,EGOBSN,ego,Eggon,1974,The New Testament in Eggon,True,0
1569,ETUBSC,etu,Ejagham,2009,The New Testament in Ejagham,True,0
1571,EKAWYI,eka,Ekajuk,2012,Ekajuk 2012 Edition,True,7958
1572,CRNWBT,crn,El Nayar Cora,2008,The Bible in Presidio de Los Reyes,True,7955
1575,EBUBSK,ebu,Embu,2002,Kiembu New Testament (2002 Edition),True,0
1578,ENQPNG,enq,Enga,1988,The New Testament in Enga,True,7936
1579,ENGESV,eng,English,2001,English Standard Version,True,0
1580,ENGNIV,eng,English,1978,New International Version,True,0
1581,ENGKJV,eng,English,1611,King James Version,True,31102
1582,ENGCEV,eng,English,1995,Contemporary English Version,True,0
1584,ENGNAB,eng,English,1970,New American Bible,True,0
1585,ENGWEB,eng,English,1997,World English Bible,True,31102
1586,ENGNAS,eng,English,,NAS New American Standard Bible,True,0
1587,ENGNLV,eng,English,1986,New Life Version,True,0
1588,ENGEVD,eng,English,2006,English Version for the Deaf,True,30963
1592,ENGASV,eng,English,1901,American Standard Version,True,31102
1657,ENGREV,eng,English,,Revised Version 1885,True,31102
1675,ENGWM1,eng,English,,World Messianic Version,True,31102
1678,ENGWMV,eng,English,,Wycliffe Modern Version,True,31104
1720,SJATBL,sja,Epena,2005,Epena 2005 Edition,True,7930
1721,MYVIBT,myv,Erzya,1827,The Bible in Erzya,True,7955
1733,NOUWBT,nou,Ewage-Notu,,1987 Edition,True,7945
1735,EWEIBS,ewe,Éwé,1988,Ewe 1988 Edition (Togo),True,0
1738,EZAWBT,eza,Ezaa,2014,2014 Edition,True,0
1739,FAIPNG,fai,Faiwol,1995,The New Testament in Faiwol,True,0
1741,FLMBIV,cfm,Falam Chin,2009,2009 Edition,True,7957
1748,FAAWBT,faa,Fasu,2012,Fasu 2012 Edition,True,7944
1749,FARWBT,far,Fataleka,,WBT Version,True,7951
1750,HIFBSP,hif,Fijian Hindustani,2002,Fiji Hindi BSSP Edition,True,7863
1751,FIJBSP,fij,Fijian,2005,Fijian New Version,True,7957
1755,FINELC,fin,Finnish,,1992 The Evangelical Lutheran Church of Finland,True,0
1761,FIPBST,fip,Fipa,,1988 Edition,True,0
1763,PPOWBT,ppo,Folopa,,2005 Edition,True,7916
1765,FONBSB,fon,Fon,2013,AKƆJIJƐYƆ̌YƆ́ Ɔ́ WÉMAMA,True,0
1767,FRDWBT,frd,Fordata,2016,2016 Edition,True,0
1768,FORBSV,for,Fore,,1974 Edition,True,7958
1770,ZOSTBL,zos,Francisco León Zoque,1984,Francisco Leon Zoque 1984 Edition,True,0
1793,FRNO96,fra,French,,Ostervald Version,True,0
1794,FRNTLS,fra,French,1910,1910 Louis Segond (Tresorsonore recording),True,0
1801,FSLSLV,fsl,French Sign Language,2010,French Sign Language Bible Portions,True,0
1810,GAGIB1,gag,Gagauz,,2006 Edition (Cyrillic),True,7954
1813,GAGIBT,gag,Gagauz,,2006 Edition (Latin),True,7954
1816,GBILAI,gbi,Galela,2002,Galela 2002 Edition,True,7948
1817,CARBSS,car,Carib,2003,Galibi Carib 2003 Edition,True,7929
1820,GMVTBL,gmv,Gamo,2009,Gamo 2009 Edition,True,7842
1826,PWGWBT,pwg,Gapapaiwa,2009,Gapapaiwa 2009 Edition,True,7929
1830,CABNVS,cab,Garifuna,2002,Garifuna 2002 Edition,True,7947
1831,GRTBBS,grt,Garo,2004,Garo 2004 Edition,True,7813
1837,GEJBS2,gej,Gen,2004,Gen 2004 Edition,True,7958
1868,BBJABC,bbj,Ghomálá',2002,Ghomala New Testament,True,0
1869,GIDABC,gid,Gidar,1985,Gidar New Testament,True,0
1870,ACDWBT,acd,Gikyode,2001,Gikyode 2001 Edition,True,7911
1873,GILBSP,gil,Kiribati,2004,Gilbertese 2016 Edition,True,0
1875,BBRWBT,bbr,Girawa,1994,Girawa 1994 Edition,True,7923
1876,NYFBTL,nyf,Giryama,2004,Giryama 2004 Edition,True,7956
1879,GOFTBL,gof,Gofa,2009,Gofa 2009 Edition (Latin script),True,7958
1880,GOGBST,gog,Gogo,2002,Gogo 2002 Edition,True,7957
1881,GKNIBS,gkn,Gokana,1996,Gokana 1996 Edition,True,0
1883,GVFWBT,gvf,Golin,1980,Golin 1980 Edition,True,7952
1886,GQRWBT,gqr,Gor,2014,Gor 2014 Edition,True,7957
1887,GORLAI,gor,Gorontalo,2010,"Gorontalo Today's Version, 2010",True,0
1889,GUXABB,gux,Gourmanchéma,2003,2003 Edition,True,7950
1893,GUHWBT,guh,Guahibo,2002,Guahibo 2002 Edition,True,7884
1894,GUBWBT,gub,Guajajára,2007,Guajajảra 2007 Edition,True,30187
1895,GUMTBL,gum,Guambiano,2000,Guambiano 2000 Edition,True,7957
1896,GVCTBL,gvc,Guanano,2007,Guanano 2007 Edition,True,0
1899,GYRSBB,gyr,Guarayu,2002,The New Testament in Guarayu,True,7936
1900,GUOWBT,guo,Guayabero,2009,Guayabero WBT Edition,True,7800
1901,GDEWBT,gde,Gude,1999,Gude 1999 Edition,True,7940
1903,AMUMVR,amu,Guerrero Amuzgo,,1999 Edition,True,7947
1906,NGUTBL,ngu,Guerrero Nahuatl,1987,The New Testament in Guerrero Nahuatl,True,7933
1908,GHSPNG,ghs,Guhu-Samane,,1975 Edition,True,7905
1915,GUJWTC,guj,Gujarati,1997,Gujarati: Easy to Read Version,True,30928
1916,GVLABT,gvl,Gulay,2004,Gulei New Testament,True,7958
1917,AFBGNV,afb,Gulf Spoken Arabic,2018,Good News Bible – Gulf Arabic,True,0
1919,GUKBSE,guk,Gumuz,2003,Gumuz 2003 Edition,True,0
1921,GUWNVS,guw,Gun,1987,The New Testament in Gun-Alada,True,0
1922,RUBWBT,rub,Gungu,2017,2017 Edition,True,0
1924,DAHPNG,dah,Gwahatike,2000,The New Testament in Gwahatike,True,0
1926,GWRWBT,gwr,Gwere,,2017 Edition,True,7951
1931,GWIWBT,gwi,Gwich'in,,2010 Edition,True,0
1934,HATBIV,hat,Haitian Creole French,2016,2016 Edition,True,7957
1936,HATSBH,hat,Haitian Creole French,1999,Haitian 1999 Edition,True,7949
1937,CNHBSM,cnh,Haka Chin,2005,Hakha Common Language Bible,True,31087
1940,HAKTHV,hak,Hakka Chinese,1993,Today's Taiwanese Hakka Bible,True,7908
1944,KHKMUB,khk,Halh Mongolian,2013,2013 Edition,True,0
1947,HLAPNG,hla,Halia,,1978 Edition,True,7949
1948,AMFSIM,amf,Hamer-Banna,2014,The New Testament in Banna,True,7954
1951,HAGGIL,hag,Hanga,1983,Hanga 1983 Edition,True,7694
1952,WOSWBT,wos,Hanga Hundi,1997,Hanga Hundi 1997 Edition,True,7958
1953,HNNOMF,hnn,Hanunoo,1995,Hanunoo 1995 Edition,True,7946
1958,HAUCLV,hau,Hausa,,Common Language Version,True,0
1964,HAYBST,hay,Haya,2001,Haya 2001 Edition,True,0
1966,XEDWYI,xed,Hdi,2013,Hdi 2013 Edition,True,7957
1977,HEHBST,heh,Hehe,1999,Hehe 1999 Edition,True,7958
1983,AZZTBL,azz,Highland Puebla Nahuatl,1979,Highland Puebla Nahuatl 1979 Edition,True,7947
1984,TOSTBL,tos,Highland Totonac,1999,Highland Totonac 1999 Edition,True,7911
1986,HILHPV,hil,Hiligaynon,1983,Hiligaynon 1983 Popular Version,True,7953
1993,HNDSKV,hin,Hindi,,Sab Ki Version,True,0
1995,HMOPNG,hmo,Hiri Motu,1994,Hiri Motu 1994 Edition,True,30911
1998,MWWHDV,mww,Hmong Daw,2000,Hmong Daw 2000 Edition,True,0
2007,HOTWBT,hot,Hote,2010,The New Testament in Hote,True,7924
2010,QUBPBS,qub,Huallaga Huánuco Quechua,2010,Huallaga Quechua WBT Version,True,7958
2012,HUBWBT,hub,Huambisa,2010,Huambisa 2010 Edition,True,7744
2014,HUSLLB,hus,Veracruz Huastec,2005,Veracruz Huastec 2005 Edition,True,0
2018,QWHLLB,qwh,Huaylas Ancash Quechua,2007,Huaylas Ancash Quechua 2007 Edition,True,7885
2019,QVWTBL,qvw,Huaylla Wanca Quechua,2006,Huaylla Wanca Quechua 2006 Edition,True,7643
2020,TEETBL,tee,Huehuetla Tepehua,1976,Huehuetla Tepehua 1976 Edition,True,0
2022,HUIPNG,hui,Huli,2002,Huli 2002 Edition,True,34855
2027,HUNHBS,hun,Hungarian,1975,The New Translation,True,0
2029,HUNK90,hun,Hungarian,,1590 Károli Bible,True,31165
2038,YMLTBL,yml,Iamalele,1988,Iamalele 1988 Edition,True,7917
2040,IANPNG,ian,Iatmul,,1975 Edition,True,7907
2043,IBATIV,iba,Iban,1999,Today's Iban Version,True,7940
2053,IDUBSN,idu,Idoma,1970,The New Testament in Idoma,True,0
2054,VIVWBT,viv,Iduna,2003,Iduna 2003 Edition,True,7934
2055,IFEWBT,ife,Ifè,2009,Ifè 2009 Edition,True,7953
2059,IGEBSN,ige,Igede,2005,Igede New Testament,True,0
2060,IGNSBB,ign,Ignaciano,2004,Ignaciano 2004 Edition,True,7957
2069,ILORPV,ilo,Ilocano,1996,Iloko 1996 Revised Popular Version,True,0
2072,IMOTBL,imo,Imbongu,1997,Imbongu 1997 Edition,True,7938
2081,INDSHV,ind,Indonesian,1994,Indonesian Sehari-hari,True,30327
2086,INZNTV,inz,Ineseno,,"Indonesian New Translation (formal) Version, 1974",True,31172
2087,INBWBT,inb,Inga,1996,Inga 1996 Edition,True,7940
2089,INOTBL,ino,Inoke-Yate,1992,Inoke-Yate 1992 Edition,True,7933
2090,NKFBIV,nkf,Inpui Naga,2011,The New Testament in Inpui Naga,True,7957
2094,IPIPNG,ipi,Ipili,,2008 Edition,True,0
2101,PESTPV,pes,Western Farsi,2007,Today's Persian Version,True,7958
2103,IRKBST,irk,Iraqw,2003,Iraqw 2003 Edition,True,7957
2104,IRYOMF,iry,Iraya,1991,Iraya 1991 Edition,True,7912
2105,IRIWYI,iri,Irigwe,2012,Irigwe 2012 Edition,True,7959
2113,ICRWYI,icr,Islander Creole English,2015,San Andres Islander Creole New Testament,True,7956
2116,MIRTBL,mir,Isthmus Mixe,1988,Isthmus Mixe 1988 Edition,True,0
2118,ZAITBL,zai,Isthmus Zapotec,1988,Isthmus Zapotec 1988 Edition,True,7931
2131,ITAR27,ita,Italian,1927,1927 Riveduta Bibbia,True,31102
2135,ITVSTP,itv,Itawit,2009,Itawit Scripture Translation for Every People 2009,True,7949
2145,ATGWYI,atg,Ivbie North-Okpela-Arhe,2012,Ivbie North-Okpela-Arhe 2012 Edition,True,0
2146,KBMTBL,kbm,Iwal,1984,The New Testament in Iwal,True,7871
2149,IXLWBT,ixl,San Juan Cotzal Ixil,,San Juan Cotzal - 2001 Edition,True,0
2153,IXIWBT,ixi,Nebaj Ixil,,Nebaj - 2008 Edition,True,7958
2154,NCAWBT,nca,Iyo,2009,The New Testament in Iyo,True,7956
2157,IZZTBL,izz,Izii,,WBT Version,True,0
2159,JACWBT,jac,Eastern Jacalteco,1997,The New Testament in Eastern Jakalteko,True,0
2161,MAJTBL,maj,Jalapa de Díaz Mazatec,2013,Jalapa de Díaz Mazatec 2013 Edition,True,7958
2162,JAMBSW,jam,Jamaican Creole English,2012,Jamaican Creole English 2012 Edition,True,7943
2163,MXTTBL,mxt,Jamiltepec Mixtec,1983,Jamiltepec Mixtec 1983 Edition,True,7918
2165,JPNCJV,jpn,Japanese,1955,Japanese 1955 Colloquial Japanese,True,0
2170,JPNNIT,jpn,Japanese,1987,Japanese New Interconfessional Translation,True,0
2175,JSLSLV,jsl,Japanese Sign Language,1996,Japanese Sign Language Bible Portions,True,0
2180,JAVNRF,jav,Javanese,2006,"Javanese New Revised (formal) Version, 2006",True,7959
2182,KAJBSN,kaj,Jju,1982,The New Testament in Jju,True,0
2183,DYOBSG,dyo,Jola-Fonyi,2011,Jola-Fonyi 2011 Edition,True,7959
2184,CSKATB,csk,Jola-Kasa,2008,Jola-Kasa 2008 Edition,True,7954
2185,JUNWIN,jun,Juang,2016,Juang New Testament,True,0
2186,JBUIBS,jbu,Jukun Takum,1994,Jukun Takum 1994 Edition,True,7942
2187,MXQTBL,mxq,Juquila Mixe,2004,Juquila Mixe 2004 Edition,True,0
2188,BEXWBT,bex,Jur Modo,1998,Jur Modo 1998 Edition,True,7957
2190,QUCBLA,quc,Central Quiché,2011,K'iche' Catholic Biblia Latinoamericana (2011),True,7941
2197,QUJPMC,quj,Joyabaj Quiché,,1999 Edition,True,7939
2198,QUTIBS,qut,West Central Quiché,,1997 Edition,True,7955
2199,GNAWBT,gna,Kaansa,2001,The New Testament in Kaansa,True,7835
2201,KBPABT,kbp,Kabiyé,1995,Kabiyè 1995,True,7954
2202,KBPBIV,kbp,Kabiyé,2011,Kabiyè Bibles International Version,True,7955
2204,KBPRCV,kbp,Kabiyé,2010,Kabiyè Roman Catholic Version,True,7954
2206,KABCEB,kab,Kabyle,2018,ACEB Version,True,0
2209,KACUBS,kac,Jingpho,2006,Kachin Hanson Version,True,30944
2210,DTPBSM,dtp,Central Dusun,2007,Today's Dusun Version Revised,True,30471
2213,KBRSIM,kbr,Kafa,2010,Kafa 2010 Edition,True,7683
2214,CGCTBL,cgc,Kagayanen,2007,Kagayanen 2007 Edition,True,7948
2215,KKIBST,kki,Kagulu,2009,Kagulu 2009 Edition,True,7958
2221,KKJWBT,kkj,Kako,1999,Kako 1999 Edition,True,7946
2222,KEOBSU,keo,Kakwa,1977,Kakwa 1977 Editions,True,7959
2227,KQETBL,kqe,Kalagan,,2012 Edition,True,7959
2228,AA1WBT,kmh,Kalam,,2008 Edition,True,7904
