	FCBH/DBS	ISO	Language	Year	description	exist_API	exist_BibleIS
67	BVDWBT	bvd	Baeggu	2016	Baegu New Testament	False	False
68	BSPPBT	bsp	Baga Sitemu	2015	Baga Sitemu Bible Portions	False	False
69	BKXUBB	bkx	Baikeno	2004	Baikeno Mark	False	False
70	BKQWBT	bkq	Bakairí	2011	Bakairí NT	False	False
71	BLWWBT	blw	Balangao	1982	Balangao NT	False	False
72	BLZLAI	blz	Balantak	2010	Balantak NT	True	True
73	PTULAI	ptu	Bambam	2004	Bambam Bible	True	True
74	BBBTBL	bbb	Barai	1994, 2006	Barai Bible	False	False
75	BSNTBL	bsn	Barasana	2010	Barasana-Eduria NT	True	True
76	MLPTBL	mlp	Bargam	2001	Bargam NT	True	True
77	BCHPNG	bch	Bariai	2012	Bariai Bible	False	False
78	BYRPNG	byr	Baruya	1993, 1994	Baruya NT+Genesis	False	False
79	BJVWBT	bjv	Bedjond	2011	Bedjond NT	False	False
80	BELJFC	bel	Belarusan	2016	Belarusan NT+	True	True
81	BZJWBT	bzj	Belize Kriol English	2012	Belize Kriol English NT	False	False
82	BEFWBT	bef	Benabena	1982	Benabena NT	True	True
83	BENIRV	ben	Bengali	2017	Bengali Indian Revised Version Bible	False	False
84	BIGTBL	big	Biangai	1985	Biangai NT	False	False
85	BHLPNG	bhl	Bimin	2008	Bimin NT	True	True
86	BHGWBT	bhg	Binandere	2014	Binandere Mark, Luke, and Acts	False	False
87	BONPNG	bon	Bine	1993	Bine NT	True	True
88	BKDWBT	bkd	Binukid	1986	Binukid NT	True	True
89	BJRWBT	bjr	Binumarien	1983, 2001	Binumarien Bible	True	True
90	BPRWBT	bpr	Koronadal Blaan	1995	Koronadal Blaan NT	False	False
91	BPSWBT	bps	Sarangani Blaan	1998	Sarangani Blaan NT	False	False
92	BEUUBB	beu	Blagar	2016	Pura Bible	False	False
93	MUXTBL	mux	Mbo-Ung	2004	Bo-Ung NT	False	False
94	BQCSIM	bqc	Boko	2010	Boko (Benin) Bible	True	True
95	BUSSIM	bus	Bokobaru	2005	Bokobaru Bible	True	True
96	BNPWBT	bnp	Bola	2011	Bola Bible	True	True
97	SMKWBT	smk	Bolinao	2012	Salt-Yui NT	False	False
98	LBKWBT	lbk	Central Bontok	1992	Central Bontok NT	False	False
99	EBKWBT	ebk	Eastern Bontok	2003	Eastern Bontok NT	False	False
100	BOATBL	boa	Bora	2008	Bora NT	True	True
101	GAIPBT	gai	Borei	2016	New Testament in Mborena Kam language	True	True
102	KSRPNG	ksr	Borong	2002, 2011	Borong NT + OT portions	True	True
103	BZDWBT	bzd	Bribri	2010	Bribri Bible	False	False
104	BOXWYI	box	Buamu	2012	Buamu NT	True	True
105	BZHPNG	bzh	Mapos Buang	2003	Buang NT	True	True
106	MMOWBT	mmo	Mangga Buang	1981	Mangga Buang NT	True	True
107	BGTWBT	bgt	Bughotu	2009	Bughotu New Testament	False	False
108	SABWBT	sab	Buglere	2008	Buglere NT	True	True
109	BXHWBT	bxh	Buhutu	2015	Buhutu Bible	False	False
110	BUKLBT	buk	Bugawac	2000	Bukawa NT	True	True
111	APEBWB	ape	Bukiyip	2013	Bukiyip NT	False	False
112	BDDPNG	bdd	Bunama	1991	Bunama NT	False	False
113	BQPSIM	bqp	Busa	2005	Bisa Bible	True	True
114	BWDWBT	bwd	Bwaidoka	2017	Bwaidoka Genesis	False	False
115	TTETBL	tte	Bwanabwana	2003	Bwanabwana NT	False	False
116	CBVWBT	cbv	Cacua	2008	Cacua NT	False	False
117	CLUWBT	clu	Caluyanun	1990	Caluyanun NT	False	False
118	KBHWBT	kbh	Camsá	2009	Camsá NT	True	True
119	CBUWBT	cbu	Candoshi-Shapra	2010	Candoshi-Shapra NT	False	False
120	KAQWBT	kaq	Capanahua	2008	Capanahua NT	False	False
121	COTTBL	cot	Caquinte	2008	Caquinte NT	True	True
122	CBCWBT	cbc	Carapana	2012	Carapana NT	True	True
123	CARWBT	car	Carib	2010	Carib NT	False	False
124	CRXWBT	crx	Carrier	2011	Carrier NT	False	False
125	CAFWBT	caf	Southern Carrier	2002	Southern Carrier NT	False	False
126	CBRWBT	cbr	Cashibo-Cacataibo	2011	Cashibo-Cacataibo NT	False	False
127	CAVWBT	cav	Cavineña	2012	Cavineña NT	False	False
128	CMEWBT	cme	Cerma	2011	Cerma NT	True	True
129	CBIWBT	cbi	Chachi	2008	Chachi Bible	False	False
130	CAOWBT	cao	Chácobo	2010	Chácobo NT	False	False
131	CYAWBT	cya	Nopala Chatino	2013	Nopala Chatino NT	False	False
132	CTAWBT	cta	Tataltepec Chatino	1981	Tataltepec Chatino NT	False	False
133	CTPWBT	ctp	Western Highland Chatino	1992	Western Highland Chatino NT	False	False
134	CBKWBT	cbk	Chavacano	1981	Chavacano NT	False	False
135	CBTWBT	cbt	Chayahuita	2011	Chayahuita NT	False	False
136	ZYPWBT	zyp	Zyphe	2010	Zyphe Chin NT	True	True
137	CCOTBL	cco	Comaltepec Chinantec	2002	Comaltepec Chinantec NT	True	True
138	CNLTBL	cnl	Lalana Chinantec	2012	Lalana Chinantec NT	True	True
139	CLETBL	cle	Lealao Chinantec	2008	Lealao Chinantec NT	True	True
140	CHZWBT	chz	Ozumacín Chinantec	2003	Ozumacín Chinantec NT	True	True
141	CPATBL	cpa	Palantla Chinantec	1973	Palantla Chinantec NT	True	True
142	CHQWBT	chq	Quiotepec Chinantec	1983	Quiotepec Chinantec NT	False	False
143	CSOTBL	cso	Sochiapan Chinantec	1986	Sochiapam Chinantec NT	True	True
144	CNTTBL	cnt	Tepetotutla Chinantec	1994	Tepetotutla Chinantec NT	True	True
145	CUCTBL	cuc	Usila Chinantec	1983	Usila Chinantec NT	True	True
146	CAPSBB	cap	Chipaya	2009	Chipaya NT	True	True
147	CAXSBB	cax	Chiquitano	2012	Chiquitano NT	True	True
148	CTUCTI	ctu	Tumbalá Chol	2008	Chol de Tila Bible	False	False
149	CTU976	ctu	Tumbalá Chol	1976	Chol NT	False	False
150	CTUWBT	ctu	Tumbalá Chol	1977	Chol Tumbala Bible	False	False
151	CHDWBT	chd	Highland Oaxaca Chontal	1991	Highland Oaxaca Chontal NT	False	False
152	CHFTBL	chf	Tabasco Chontal	1977	Tabasco Chontal NT	True	True
153	CAAWBT	caa	Chortí	1996, 2012, 2013	Chorti Bible	True	True
154	CJVTBL	cjv	Chuave	1992	Chuave NT	True	True
155	CACWBT	cac	San Sebastián Coatán Chuj	2007	Chuj San Mateo Bible	False	False
156	NCUWBT	ncu	Chumburung	2010	Chumburung NT	True	True
157	CHKBSM	chk	Chuukese	1984, 1989, 1991, 2001	Chuukese Bible	False	False
158	CONWBT	con	Cofán	2012	Cofán Bible	True	True
159	COFWBT	cof	Colorado	2012	Colorado NT	True	True
160	CRNWBT	crn	El Nayar Cora	2008	El Nayar Presidio De Los Reyes Cora NT	True	True
161	CUBWBT	cub	Cubeo	2009	Cubeo NT	True	True
162	CUIWBT	cui	Cuiba	2010	Cuiba NT	True	True
163	CUXWBT	cux	Tepeuxila Cuicatec	1974	Tepeuxila Cuicatec NT	False	False
164	CUTWBT	cut	Teutila Cuicatec	1972	Teutila NT	False	False
165	CESKMS	ces	Czech	1994	Czech KMS NT	False	False
166	CESNKB	ces	Czech	1998	Czech NBK NT	False	False
167	MPSTBL	mps	Dadibi	1987, 2001	Dadibi Bible	False	False
168	DGZWBT	dgz	Daga	1974, 2004	Daga Bible	True	True
169	DAAWYI	daa	Dangaléat	2012	Dangaléat NT	True	True
170	ASOTBL	aso	Dano	1989	Dano NT	True	True
171	DWWTBL	dww	Dawawa	2002	Dawawa NT	False	False
172	DWRENT	dwr	Dawro	2011	Dawro NT (Ethoipic script)	False	False
173	DWRTBL	dwr	Dawro	2011	Dawro NT (Latin script)	True	True
174	DEDWBT	ded	Dedua	2005	Dedua NT+Psalms	True	True
175	ROWUBB	row	Dela-Oenale	2016	Rote Dela Bible	False	False
176	ANVWBT	anv	Denya	2010	Denya NT	True	True
177	NFAUBB	nfa	Dhao	2012	Dhao Bible	False	False
178	DIKWBT	dik	Southwestern Dinka	2006	Southwestern Dinka NT	False	False
179	TBZSIM	tbz	Ditammari	2001	Ditammari Bible	False	False
180	DOBPNG	dob	Dobu	1985	Dobu NT	False	False
181	DGRCBS	dgr	Dogrib	2009	Dogrib Bible	False	False
182	KQCWBT	kqc	Doromu	2011-2016	Doromu-Koki Bible	False	False
183	KJSWBT	kjs	East Kewa	2004	East Kewa NT	True	True
184	DJKWBT	djk	Aukan	2009	Eastern Maroon Creole NT	True	True
185	ETRTBL	etr	Edolo	2010-2012	Edolo Bible	False	False
186	EMPWYI	emp	Northern Emberá	2011	Northern Emberá NT	True	True
187	ENQPN2	enq	Enga	2014-2015	Enga Bible portions	False	False
188	ENQPNG	enq	Enga	1988	Enga NT	True	True
189	ENGFBV	eng	English	2018	Free Bible Version	False	False
190	ENGGLW	eng	English	1996	God's Living Word	False	False
191	ENGOUR	eng	English	2016	One Unity Resource Bible	False	False
192	ENGT4T	eng	English	2008-2017	Translation for Translators	False	False
193	SJAWBT	sja	Epena	2005	Epena NT	False	False
194	ESEWBT	ese	Ese Ejja	2012	Ese Ejja NT	False	False
195	MCQSPP	mcq	Ese	1975, 1999	Managalasi NT	False	False
196	NOUTBL	nou	Ewage-Notu	1987	Ewage-Notu NT	False	False
197	FAIPNG	fai	Faiwol	1995	Faiwol NT	True	True
198	TGGWBT	bjp	Fanamaket	2011-2012	Tangga NT	False	False
199	FAAWBT	faa	Fasu	2011	Fasu NT	True	True
200	FARWBT	far	Fataleka	2017	Fataleka New Testament	True	True
201	AOJFIL	aoj	Mufian	1998	Filifita NT	False	False
202	PPOWBT	ppo	Folopa	2005	Folopa NT	True	True
203	FORNYB	for	Fore	1974	Fore NT	False	False
204	FUESIM	fue	Borgu Fulfulde	2011	Fulfulde Borgu NT	True	True
205	FFMWBT	ffm	Maasina Fulfulde	2005	Maasina Fulfulde NT	False	False
206	FUHSIM	fuh	Western Niger Fulfulde	2012	Fulfulde Burkina NT	True	True
207	GMVTBL	gmv	Gamo	2011	Gamo NT	True	True
208	GMVWBT	gmv	Gamo	2011	Gamo NT	False	False
209	PWGGTT	pwg	Gapapaiwa	2009	Gapapaiwa NT	False	False
210	CABNVS	cab	Garifuna	2012	Garifuna NT	True	True
211	NLGWBT	nlg	Gela	2015	Gela Bible	True	True
212	BMKWBT	bmk	Ghayavi	2010	Ghayavi Mark	False	False
213	GLKGLK	glk	Gilaki	2014	Gilaki John	False	False
214	BBRWBT	bbr	Girawa	1994	Girawa NT	True	True
215	GO1TBL	gof	Gofa	2011	Gofa NT (Ethiopic script)	True	True
216	GOFTBL	gof	Gofa	2011	Gofa NT (Latin script)	True	True
217	GVFWBT	gvf	Golin	1980	Golin NT	True	True
218	GUHWBT	guh	Guahibo	2011	Guahibo NT	True	True
219	GUBWBT	gub	Guajajára	2007	Guajajára Bible	True	True
220	GUMTBL	gum	Guambiano	2010	Guambiano NT	True	True
221	GVCWBT	gvc	Guanano	2007	Guanano NT	False	False
222	GUISBU	gui	Eastern Bolivian Guaraní	2012	Eastern Bolivian Guaraní NT	True	True
223	GUNWBT	gun	Mbyá Guaraní	2004	Mbyá Guaraní NT	True	True
224	GNWWBT	gnw	Western Bolivian Guaraní	2012	Western Bolivian Guaraní NT	False	False
225	GYRWBT	gyr	Guarayu	2011	Guarayu NT	False	False
226	GUOWBT	guo	Guayabero	2009	Guayabero NT	True	True
227	GHSWBT	ghs	Guhu-Samane	1975	Guhu-Samane NT	False	False
228	GUJIRV	guj	Gujarati	2017	Gujarati Indian Revised Version Bible	False	False
229	DAHPNG	dah	Gwahatike	2000	Gwahatike NT	True	True
230	GWIWBT	gwi	Gwich'in	2010	Gwich'in NT	True	True
231	HLAPNG	hla	Halia	1978	Halia NT	True	True
232	AMFSIM	amf	Hamer-Banna	2014	Banna NT	True	True
233	WOSWBT	wos	Hanga Hundi	1997	Hanga Hundi Bible	True	True
234	HWCWBT	hwc	Hawai'i Creole English	2000	Hawai'i Creole English NT	False	False
235	HVNUBB	hvn	Sabu	2016	Hawu Mark	False	False
236	XEDWBT	xed	Hdi	2013	Hdi NT	False	False
237	HEGWBT	heg	Helong	2011	Helong Bible	False	False
238	HINIRV	hin	Hindi	2017, 2018	Hindi Indian Revised Version Bible	False	False
239	HNSWBT	hns	Caribbean Hindustani	2010	Caribbean Hindustani NT	True	True
240	HIXWBT	hix	Hixkaryána	2012	Hixkaryána NT	False	False
241	HOPWBT	hop	Hopi	2012	Hopi NT	False	False
242	HUBWBT	hub	Huambisa	2010	Huambisa NT	True	True
243	HUSTBL	hus	Veracruz Huastec	2005	Huastec Aquiche NT	False	False
244	HUSWBT	hus	Veracruz Huastec	1971	Huastec San Luis Potosi NT	False	False
245	HUVTBL	huv	San Mateo del Mar Huave	2009	San Mateo Del Mar Huave NT	True	True
246	HCHWBT	hch	Huichol	1988	Huichol NT	False	False
247	HTOWBT	hto	Minica Huitoto	2011	Minica Huitoto NT	True	True
248	HUUWBT	huu	Murui Huitoto	2008	Murui Huitoto	False	False
249	HUIPNG	hui	Huli	1983, 1991, 2002	Huli Bible	True	True
250	YMLTBL	yml	Iamalele	1984, 1988	Iamalele NT	True	True
251	IANWBT	ian	Iatmul	1975	Iatmul NT	False	False
252	VIVWBT	viv	Iduna	1983, 2003	Iduna NT	True	True
253	IGNSBB	ign	Ignaciano	2012	Ignaciano NT	True	True
254	IKKWBT	ikk	Ika	2010	Ika NT	False	False
255	IKWWBT	ikw	Ikwere	2010	Ikwere NT	False	False
256	IMOTBL	imo	Imbongu	1997	Imbo Ungu NT	True	True
257	ABXWBT	abx	Inabaknon	1996	Inabaknon NT	False	False
258	INBWBT	inb	Inga	2009	Inga NT	True	True
259	INOTBL	ino	Inoke-Yate	1992	Inoke-Yate NT	True	True
260	IPIPNG	ipi	Ipili	2008	Ipili NT	True	True
261	ATGWBT	atg	Ivbie North-Okpela-Arhe	2012	Ivbie North-Okpela-Arhe NT	False	False
262	KBMTBL	kbm	Iwal	1984	Iwal NT	True	True
263	IWSTBL	iws	Sepik Iwam	1989	Sepik Iwam NT	False	False
264	IXLWBT	ixl	San Juan Cotzal Ixil	2001	Ixil Cotzal NT	True	True
265	IXIWBT	ixl	San Juan Cotzal Ixil	2008	Ixil Nebaj NT	True	True
266	NCAWBT	nca	Iyo	2009	Iyo NT	True	True
267	JACWBT	jac	Eastern Jacalteco	1997	Eastern Jakalteko NT	True	True
268	JVNWBT	jvn	Caribbean Javanese	2009	Caribbean Javanese NT	False	False
269	QUCNEW	quc	Central Quiché	2011	K'iche' Cantel NT, new spelling	False	False
270	QUCTRA	quc	Central Quiché	2011	K'iche' Cantel NT, traditional spelling	False	False
271	URBWBT	urb	Urubú-Kaapor	2012	Kaapor NT	True	True
272	KBCWBT	kbc	Kadiwéu	2012	Kadiwéu NT	False	False
273	CGCWBT	cgc	Kagayanen	2007	Kagayanen NT	False	False
274	KGPWBT	kgp	Kaingáng	2011	Kaingang NT	False	False
275	KGKWBT	kgk	Kaiwá	2006	Kaiwá NT	False	False
276	KQFWBT	kqf	Kakabai	2010-2016	Kakabai Bible portions	False	False
277	KMHKAL	kmh	Kalam	1992	Kalam NT	False	False
278	KMKWBT	kmk	Limos Kalinga	2003	Limos Kalinga NT	False	False
279	BCOWBT	bco	Kaluli	1998	Kaluli NT	False	False
280	KBQWBT	kbq	Kamano	2014	Kamano-Kafe Bible	False	False
281	KMSPNG	kms	Kamasau	1998	Kamasau NT	True	True
282	XLAPNG	xla	Kamula	2005	Kamula Bible	True	True
283	SOQWBT	soq	Kanasi	1996	Kanasi NT	True	True
284	KQWWIN	kqw	Kandas	2011-2016	Kandas NT	False	False
285	GAMWBT	gam	Kandawo	2012-2014	Kandawo NT	True	True
286	WATWBT	wat	Kaninuwa	2016	Kaninuwa Bible	False	False
287	KMUTBL	kmu	Kanite	2002	Kanite NT	True	True
288	KNEWBT	kne	Kankanaey	2016	Kankanaey Bible	False	False
289	XNNWBT	xnn	Northern Kankanay	1984	New Testament in Kankanay, Northern	False	False
290	KANIRV	kan	Kannada	2017	Kannada Indian Revised Version Bible	False	False
291	KPGKPT	kpg	Kapingamarangi	1996, 2014	Kapingamarangi Bible	False	False
292	CAKEAS	cak	Central Cakchiquel	2012	Eastern Kaqchikel NT	False	False
293	CAKSOU	cak	Central Cakchiquel	2007	Kaqchikel Chimaltenango NT	False	False
294	CAKSBG	cak	Central Cakchiquel	2012	Kaqchikel NT	True	True
295	CAKSDS	cak	Central Cakchiquel	1993	Kaqchikel Sur de Sacatepequez NT	False	False
296	CAKSMJ	cak	Central Cakchiquel	2010	Santa Maria de Jesus Kaqchikel NT	False	False
297	CAKSWY	cak	Central Cakchiquel	2012	SW Yepocapa and Acatenango Kaqchikel NT	False	False
298	CAKWES	cak	Central Cakchiquel	2010	Western Solola Kaqchikel NT	False	False
299	LEUPNG	leu	Kara	1997	Kara NT	False	False
300	KPJWBT	kpj	Karajá	2011	Karajá NT	False	False
301	YUJTBL	yuj	Karkar-Yuri		Karkar-Yuri NT	False	False
302	CBSWBT	cbs	Cashinahua	2008	Kashinawa NT	False	False
303	KMPPNG	kmg	Kâte	1978	Kâte NT	False	False
304	KSDPNG	ksd	Kuanua	1882-1983	Kauana Bible	True	True
305	KYZWBT	kyz	Kayabí	2012	Kayabí NT	True	True
306	TXUTBL	txu	Kayapó	2012	Kayapó NT	True	True
307	KHZPNG	khz	Keapara	2005	Keapara Kalo NT	True	True
308	BMHWBT	bmh	Kein	2005	Kein NT	True	True
309	KYQWBT	kyq	Kenga	2012	Kenga NT	False	False
310	KENWBT	ken	Kenyang	2010	Kenyang NT	True	True
311	KYGTBL	kyg	Keyagana	2001	Keyagana Bible	True	True
312	GEBPBT	geb	Kire	2001	Kire NT	False	False
313	KJEWBT	kje	Kisar	2008	Kisar NT	True	True
314	KPWPNG	kpw	Kobon	2005	Kobon NT	True	True
315	KPXTBL	kpx	Mountain Koiali	1981	Mountain Koiali NT	True	True
316	KPFPNG	kpf	Komba	1980	Komba NT	False	False
317	XBIWAM	xbi	Kombio	2000	Kombio Wampukuamp Bible	False	False
318	XBIYAN	xbi	Kombio	2002	Kombio Yanimoi Bible	False	False
319	XONWBT	xon	Konkomba	2014	Konkomba	False	False
320	KPRTBL	kpr	Korafe	1984	Korafe NT	True	True
321	KZEWBT	kze	Kosena	1980	Kosena NT	True	True
322	EKOWBT	eko	Koti	2005-2008	Kote Bible	False	False
323	KYFWBT	kyf	Kouya	2002	Kouya NT	True	True
324	KGFGBT	kgf	Kube	2012	Kube NT+Psalms	True	True
325	KUEPNG	kue	Kuman	2008	Kuman NT	True	True
326	KVNWBT	kvn	Border Kuna	2009	Border Kuna NT	True	True
327	CUKWB9	cuk	San Blas Kuna	2009	San Blas Kuna NT 2009	False	False
328	KVGWBT	kvg	Kuni-Boazi	2015	Kuni-Boazi Bible	False	False
329	KUPTBL	kup	Kunimaipa	1989, 2002	Kunimaipa NT	True	True
330	KTOPNG	kto	Kuot	2001	Kuot NT	False	False
331	MKNUBB	mkn	Kupang Malay	2007	Kupang Malay Bible	False	False
332	KTMWBT	ktm	Kurti	2011	Kurti Scripture Portions	False	False
333	KDCPBT	kdc	Kutu	2014	Kutu NT	True	True
334	KWDWBT	kwd	Kwaio	2013	Kwaio NT	False	False
335	KWJWBT	kwj	Kwanga	1992	Kwanga NT	True	True
336	KWFWBT	kwf	Kwara'ae	2003	Kwara'ae Bible	True	True
337	CWEPBT	cwe	Kwere	2014	Kwere NT	True	True
338	KMOBIL	kmo	Kwoma	1974	Washkuk NT	False	False
339	KYCPNG	kyc	Kyaka	1973, 1980, 1987	Kyaka Enga Bible	True	True
340	KQLPBT	kql	Kyenele	1992	Kyenele Mark	False	False
341	LBBWBT	lbb	Label	2012	Label NT	False	False
342	LACTBL	lac	Lacandon	1978	Lacandon NT	True	True
343	LIFDEV	lif	Limbu	2009	Limbu NT (Devangari Script)	False	False
344	LIFWBT	lif	Limbu	2009	Limbu NT (Limbu Script)	True	True
345	LLGUBB	llg	Lole	2004	Rote Lole Bible	False	False
346	UVLWBT	uvl	Lote	2009	Lote NT	True	True
347	LEXWBT	lex	Luang	2005, 2014	Luang Bible	True	True
348	RUFPBT	ruf	Luguru	2014	Luguru NT	True	True
349	DOPSIM	dop	Lukpa	1999	Lokpa Bible	False	False
350	MDYTWF	mdy	Male	2015	Maale Bible (Ethiopic script)	False	False
351	MCBWBT	mcb	Machiguenga	2008	Machiguenga NT	False	False
352	MYYWBT	myy	Macuna	2012	New Testament in Macuna	True	True
353	MBCWBT	mbc	Macushi	2013	Macushi NT	False	False
354	MMXTBL	mmx	Madak	1995, 2011	Madak NT+Psalms	False	False
355	MZZWBT	mzz	Maiadomu	2010	Maiadomu Mark	False	False
356	MTITBL	mti	Maiwa	2011	Maiwa NT	False	False
357	MCAWBT	mca	Maca	2013	Maka NT	False	False
358	MCPWBT	mcp	Makaa	2014	Makaa NT	True	True
359	MGHWBT	mgh	Makhuwa-Meetto	1927, 2009	Makhuwa-Meetto NT	False	False
360	KDEWBT	kde	Makonde	2008	Makonde Bible	False	False
361	ZIMKSZ	zlm	Malay	2013	Contextualized Malay NT	False	False
362	MALIRV	mal	Malayalam	2017	Malayalam Indian Revised Version Bible	False	False
363	HOTWBT	hot	Hote	2010	Malei-Hote NT	True	True
364	MAMCOM	mam	Northern Mam	2009	Mam Comitancillo NT	False	False
365	MAMSBG	mam	Northern Mam	2000	Mam Todos Santos NT	True	True
366	MQJWBT	mqj	Mamasa	2011	Mamasa NT	False	False
367	MVAPNG	mva	Manam	1996	Manam NT	False	False
368	MBHTBL	mbh	Mangseng	1999	Mangseng NT	True	True
369	KNFWBT	knf	Mankanya	2014	Mankanya NT and partial OT	False	False
370	MSMWPS	msm	Agusan Manobo	1999	Agusan Manobo NT	True	True
371	ATDWBT	atd	Ata Manobo	2000	Ata Manobo NT	False	False
372	MBTWBT	mbt	Matigsalug Manobo	2010	Matigsalug Manobo NT	True	True
373	OBOWBT	obo	Obo Manobo	2011	Obo Manobo NT	True	True
374	MBSWBT	mbs	Sarangani Manobo	1982	Sarangani Manobo NT	False	False
375	MBBWBT	mbb	Western Bukidnon Manobo	2013	Western Bukidnon Manobo OT	False	False
376	MSKWBT	msk	Mansaka	1975	Mansaka NT	False	False
377	MLHPNG	mlh	Mape	2008	Mape NT	True	True
378	ARNSBU	arn	Mapudungun	2011	Mapudungun NT	False	False
379	MARIRV	mar	Marathi	2017	Marathi Indian Revised Version Bible	False	False
380	DADWBT	dad	Marik	2011	Marik NT	True	True
381	MSBWBT	msb	Masbatenyo	1993	Masbatenyo NT	False	False
