	FCBH/DBS	ISO	Language	Year	description	exist_API	exist_BibleIS
0	KUDPNG	kud	'Auhelawa	2008	'Auhelawa NT	False	False
1	AAUWBT	aau	Abau	2006	Abau NT	True	True
2	ACRWBT	acr	Rabinal Achí	2009	Achi Rabinal NT (new orthography)	True	True
3	ACRTNT	acr	Rabinal Achí	2009	Achi Rabinal NT (traditional orthography)	False	False
4	ACCIBS	acr	Rabinal Achí	2009	New Testament in Achi	True	True
5	ACUTBL	acu	Achuar-Shiwiar	2008	Achuar-shiwiar Bible	True	True
6	ADZPNG	adz	Adzera	2009	Adzera Genesis	False	False
7	AGDWBT	agd	Agarabi	2010	Agarabi NT	False	False
8	DGCWBT	dgc	Casiguran Dumagat Agta	1979	Casiguran Dumagat Agta NT	False	False
9	AGTWBT	agt	Central Cagayan Agta	1992	Central Cagayan Agta	False	False
10	AGUNVS	agu	Aguacateco	2011	Aguacateco Bible	True	True
11	AGRWBT	agr	Aguaruna	2008	Aguaruna NT	False	False
12	AGNWPS	agn	Agutaynen	2004	Agutaynen NT	True	True
13	CPCWBT	cpc	Ajyíninka Apurucayali	2000	Ajyíninka Apurucayali NT	False	False
14	KNJWBT	knj	Western Kanjobal	2012	Akateko NT	False	False
15	AKEBSS	ake	Akawaio	2010	Akawaio NT	True	True
16	BSSWBT	bss	Akoose	2011	Akoose NT	True	True
17	SPMPBT	spm	Sepen	2006, 2010	Published Mark & Acts	False	False
18	AMPWBT	amp	Alamblak	2003, 2004	Alamblak NT	False	False
19	GAHPNG	gah	Alekano	1973, 1986	Alekano Bible	True	True
20	ALQCBS	alq	Algonquin	1998	Algonquin NT	False	False
21	ALPWBT	alp	Alune	2012	Alune NT	True	True
22	AMMTBL	amm	Ama	1990, 2009	Ama NT	False	False
23	AMNNAI	amn	Amanab	2011	Amanab Naineri NT	False	False
24	AMNANA	amn	Amanab	2001	Amanab NT	False	False
25	AMRWBT	amr	Amarakaeri	2008	Amarakaeri NT	False	False
26	AAZUBB	aaz	Amarasi	1999-2014	Amarasi Bible	False	False
27	AMKWBT	amk	Ambai	2010	Ambai NT	True	True
28	TVKWBT	tvk	Southeast Ambrym	2015	Southeast Ambrym Bible portions	False	False
29	ABTMAP	abt	Ambulas	1983	Ambulas Maprik NT	False	False
30	AEYWBT	aey	Amele	1997	Amele Genesis	False	False
31	AMUWBT	amu	Guerrero Amuzgo	1999	Amuzgo, Guerrero NT	False	False
32	AZGTBL	azg	San Pedro Amuzgos Amuzgo	1992	San Pedro Amuzgos NT	True	True
33	ABYWBT	aby	Aneme Wake	1988	Aneme Wake NT	True	True
34	AGMPNG	agm	Angaatiha	2004	Angaataha NT	False	False
35	AKHBSP	akh	Angal Heneng	1978	Angal Heneg NT	True	True
36	AGGPNG	agg	Angor	2001	Angor NT	True	True
37	BOJPNG	boj	Anjam	2000	Anjam NT 2000	False	False
38	BOJWBT	boj	Anjam	2014	Anjam NT 2014	True	True
39	AAKWBT	aak	Ankave	1990	Minaifia NT	True	True
40	AUIWBT	aui	Anuki	2010-2016	Anuki Bible Portions	False	False
41	APWWBT	apw	Western Apache	2012	Western Apache NT	False	False
42	APYWBT	apy	Apalaí	1986	Apalaí NT	False	False
43	APNWBT	apn	Apinayé	1999	Apinayé NT	False	False
44	APUWBT	apu	Apurinã	2004	Apurinã NT	False	False
45	ARLWBT	arl	Arabela	2008	Arabela NT	False	False
46	AONWBT	aon	Bumbita Arapesh	2003	Arapesh NT	False	False
47	MWCWBT	mwc	Are	2011-2016	Are Bible	False	False
48	APRWBT	apr	Arop-Lukep	2013	Arop-Lokep	True	True
49	AIAWBT	aia	Arosi	2005	Arosi New Testament	False	False
50	MSYPNG	msy	Aruamu	2004	Aruamu NT	True	True
51	CNIWBT	cni	Asháninka	2008	Asháninka NT	True	True
52	CJOWBT	cjo	Ashéninka Pajonal	2008	Ashéninka Pajonal NT	True	True
53	CPUWBT	cpu	Pichis Ashéninka	2008	Pichis Ashéninka NT	True	True
54	CPYWBT	cpy	South Ucayali Asheninka	2008	South Ucayali Ashéninka Bible	False	False
55	CPBWBT	cpb	Ucayali-Yurúa Ashéninka	2000	Ucayali-yurúa Ashéninka NT	True	True
56	ASMIRV	asm	Assamese	2017, 2018	Assamese Indian Revised Version Bible	False	False
57	AIIABT	aii	Assyrian Neo-Aramaic	2014	Assyrian Neo-Aramaic NT+Psalms	False	False
58	ATTWBT	att	Pamplona Atta	1996	Pamplona Atta NT	False	False
59	AVTWBT	avt	Au	1992	Au NT	True	True
60	AWBTBL	awb	Awa	1974, 1997	Awa NT	True	True
61	KWIWBT	kwi	Awa-Cuaiquer	2002	Awa-Cuaiquer NT	True	True
62	AWXWBT	awx	Awara	2011	Awara Bible portions	False	False
63	AUYTBL	auy	Awiyaana	1984	Awiyaana NT	False	False
64	SGBWBT	sgb	Mag-Anchi Ayta	2006	Mag-antsi Ayta NT	False	False
65	AZBBSA	azb	South Azerbaijani	2008	Azerbaijani Bible	False	False
66	BBASIM	bba	Baatonum	2013	Bariba Bible	False	False
