ISO	NAM_LABEL	LMP_LON	LMP_LAT	GENEALOGY
amh	Amharic	37.93657	11.77861	Afro-Asiatic, Semitic, South, Ethiopian, South, Transversal, Amharic-Argobba
ami	Amis	121.34791	23.09172	Austronesian, East Formosan, Central
amj	Amdang	21.31208	14.51149	Nilo-Saharan, Fur
amk	Ambai	136.52587	-1.88126	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera-West New Guinea, West New Guinea, Cenderawasih Bay, Yapen, Central-Western
aml	War	91.99736	24.38823	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Khasian
amm	Ama	141.65793	-4.20192	Arai (Left May)
amn	Amanab	141.17783	-3.51516	Border, Waris
amo	Amo	8.65405	10.32287	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Eastern, Amo
amp	Alamblak	143.31576	-4.66307	Sepik, Sepik Hill, Alamblak
amq	Amahai	128.93888	-3.32028	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Piru Bay, East, Seram Straits, Uliase, Hatuhaha, Elpaputi
amr	Amarakaeri	-70.55333	-12.49308	Harákmbut
ams	Southern Amami-Oshima	129.28521	28.1955	Japonic, Ryukyuan, Amami-Okinawan, Northern Amami-Okinawan
amt	Amto	141.33941	-4.12165	Amto-Musan
amu	Guerrero Amuzgo	-98.18953	16.77226	Otomanguean, Eastern Otomanguean, Amuzgo-Mixtecan, Amuzgo
amv	Ambelau	127.1964	-3.85919	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, Ambelau
amw	Western Neo-Aramaic	36.48403	33.81622	Afro-Asiatic, Semitic, Central, Aramaic, Western
amx	Anmatyerre	133.28584	-22.28531	Australian, Pama-Nyungan, Arandic
amy	Ami	130.0399	-13.55727	Australian, Daly, Bringen-Wagaydy, Wagaydy
amz	Atampaya	142.2726	-11.0018	Australian, Pama-Nyungan, Paman, Northern Pama
ana	Andaqui	-75.99999	2.74999	Paezan
anb	Andoa	-76.60558	-3.29664	Zaparoan, Záparo, Arabela-Andoa
anc	Ngas	9.46146	9.32042	Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1
and	Ansus	135.86627	-1.7543	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera-West New Guinea, West New Guinea, Cenderawasih Bay, Yapen, Central-Western
ane	Xârâcùù	165.99607	-21.70338	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, South, Xaracuu-Xaragure
anf	Animere	0.41962	7.60385	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Kebu-Animere
anh	Nend	144.88584	-5.04271	Trans-New Guinea, Madang, South Adelbert Range, Wanang, Atan
ani	Andi	46.29187	42.80785	North Caucasian, East Caucasian, Avar-Andic, Andic
anj	Anor	144.80097	-4.98449	Ramu-Lower Sepik, Ramu, Middle Ramu
ank	Goemai	9.72453	8.74455	Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2
anl	Anu	98.5945	23.33942	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Mru
