ISO	NAM_LABEL	LMP_LON	LMP_LAT	GENEALOGY
acw	Hijazi Spoken Arabic	38.92371	22.8346	Afro-Asiatic, Semitic, Central, South, Arabic
acx	Omani Spoken Arabic	57.70295	23.23657	Afro-Asiatic, Semitic, Central, South, Arabic
acy	Cypriot Spoken Arabic	33.0943	35.16744	Afro-Asiatic, Semitic, Central, South, Arabic
acz	Acheron	30.3187	10.88266	Niger-Congo, Kordofanian, Talodi, Talodi Proper, Tocho
ada	Dangme	0.13243	5.9437	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Ga-Dangme
adb	Adabe	125.57573	-8.22674	Trans-New Guinea, West, Timor-Alor-Pantar, Timor
add	Dzodinka	10.89556	6.7039	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Narrow Grassfields, Mbam-Nkam, Nkambe
ade	Adele	0.73376	8.19117	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Basila-Adele
adf	Dhofari Spoken Arabic	54.48936	17.07958	Afro-Asiatic, Semitic, Central, South, Arabic
adg	Andegerebinha	137.3515	-22.51278	Australian, Pama-Nyungan, Arandic
adh	Adhola	34.03408	0.73235	Nilo-Saharan, Eastern Sudanic, Nilotic, Western, Luo, Southern, Adhola
adi	Adi	94.3538	27.62812	Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani
adj	Adioukrou	-4.52522	5.38228	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby
adl	Galo Adi	96.311	27.749	Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani
adn	Adang	124.44812	-8.18958	Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor
ado	Abu	144.47396	-4.24027	Ramu-Lower Sepik, Ramu, Grass
adp	Adap	90.33693	27.14102	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern
adq	Adangbe	0.76327	6.36989	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Kposo-Ahlo-Bowili
adr	Adonara	123.15864	-8.32027	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Bima-Lembata
ads	Adamorobe Sign Language	-0.151	5.834	Deaf sign language
adt	Adynyamathanha	138.67131	-30.14508	Australian, Pama-Nyungan, South-West, Yura
adu	Aduge	6.13085	7.64567	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, Northwestern
adw	Amundava	-62.30645	-9.04023	Tupian, Tupí-Guaraní, Kawahib, Parintintin
adx	Amdo Tibetan	100.48479	34.51768	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Amdo
ady	Adyghe	39.70165	45.06076	North Caucasian, West Caucasian, Circassian
aea	Areba	142.63107	-16.63548	Australian, Pama-Nyungan, Paman, Norman Pama
aeb	Tunisian Spoken Arabic	9.56156	33.79658	Afro-Asiatic, Semitic, Central, South, Arabic
aec	Sa‘idi Spoken Arabic	30.53016	25.41322	Afro-Asiatic, Semitic, Central, South, Arabic
aed	Argentine Sign Language	-59.17984	-34.79695	Deaf sign language
aee	Northeast Pashayi	70.43166	34.66002	Indo-European, Indo-Iranian, Indo-Aryan, Northwestern zone, Dardic, Pashayi
aek	Haeke	164.86922	-21.0735	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Haekic
ael	Ambele	9.62028	5.94043	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Western Momo
aem	Arem	106.40279	17.37985	Austro-Asiatic, Mon-Khmer, Viet-Muong, Chut
aen	Armenian Sign Language	44.47668	40.10023	Deaf sign language
aeq	Aer	69.029	25.254	Indo-European, Indo-Iranian, Indo-Aryan, Central zone, Gujarati
aer	Eastern Arrernte	135.04638	-23.35831	Australian, Pama-Nyungan, Arandic
aes	Alsea	-123.94	44.408	
aew	Ambakich	144.28479	-4.23181	Ramu-Lower Sepik, Ramu, Grass
aex	Amerax	-74.33219	40.75433	
aey	Amele	145.68676	-5.29126	Trans-New Guinea, Madang, Croisilles, Gum
afb	Gulf Spoken Arabic	47.98677	30.18616	Afro-Asiatic, Semitic, Central, South, Arabic
afe	Putukwam	8.96041	6.65923	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Bendi
afi	Akrukay	144.82082	-4.88687	Ramu-Lower Sepik, Ramu, Tamolan
afn	Defaka	7.50186	4.58451	Niger-Congo, Atlantic-Congo, Ijoid, Defaka
afo	Eloyi	7.97061	8.24696	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Eloyi
afr	Afrikaans	21.61887	-30.62109	Indo-European, Germanic, West, Low Saxon-Low Franconian, Low Franconian
afs	Afro-Seminole Creole	-96.57611	35.18634	Creole, English based, Atlantic, Eastern, Northern
aft	Afitti	30.76112	12.44598	Nilo-Saharan, Eastern Sudanic, Western, Nyimang
